date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:02:15	241288/241288	---M--	200	added ('OK')	text/html	etag:%223ae88-5f5c661ff3c00%22	http://3.37.186.116/index.html	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/index.html	(from )
21:02:17	208/208	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2021%20May%202024%2015:32:14%20GMT	http://3.37.186.116/robots.txt		(from )
21:02:17	2766/2766	---M--	200	added ('OK')	image/png	etag:%22ace-5e3660f27f700%22	http://3.37.186.116/assets/images/faviconsrc="{% static "{% static '\1' %}"	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/faviconsrc="{% static "{% static '\1' %}"	(from http://3.37.186.116/index.html)
21:02:19	276140/276140	---M--	200	added ('OK')	text/css	etag:%22436ac-5e3661a7b2280%22	http://3.37.186.116/assets/css/plugins.css	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/css/plugins.css	(from http://3.37.186.116/index.html)
21:02:21	331229/331229	---M--	200	added ('OK')	text/css	etag:%2250ddd-5f5bc86eeb180%22	http://3.37.186.116/assets/css/style.css	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/css/style.css	(from http://3.37.186.116/index.html)
21:02:22	92024/92024	---M--	200	added ('OK')	text/css	etag:%2216778-5f5bcab691280%22	http://3.37.186.116/assets/css/responsive.css	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/css/responsive.css	(from http://3.37.186.116/index.html)
21:02:24	7111/7111	---M--	200	added ('OK')	image/svg+xml	etag:%221bc7-5e3660fa20900%22	http://3.37.186.116/assets/images/logo.svg	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/logo.svg	(from http://3.37.186.116/index.html)
21:02:25	35011/35011	---M--	200	added ('OK')	image/gif	etag:%2288c3-5e3660f097280%22	http://3.37.186.116/assets/images/loader.gif	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/loader.gif	(from http://3.37.186.116/index.html)
21:02:25	95335/95335	---M--	200	added ('OK')	text/html	etag:%2217467-5f5c66af00d80%22	http://3.37.186.116/my-wishlist.html	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/my-wishlist.html	(from http://3.37.186.116/index.html)
21:02:27	92755/92755	---M--	200	added ('OK')	text/html	etag:%2216a53-5f5c6621dc080%22	http://3.37.186.116/login.html	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/login.html	(from http://3.37.186.116/index.html)
21:02:29	94310/94310	---M--	200	added ('OK')	text/html	etag:%2217066-5f5c66b2d1680%22	http://3.37.186.116/register.html	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/register.html	(from http://3.37.186.116/index.html)
21:02:31	99661/99661	---M--	200	added ('OK')	text/html	etag:%221854d-5f5c658945880%22	http://3.37.186.116/compare-style1.html	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/compare-style1.html	(from http://3.37.186.116/index.html)
21:02:33	140715/140715	---M--	200	added ('OK')	text/html	etag:%22225ab-5f5c658b2dd00%22	http://3.37.186.116/cart-style1.html	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/cart-style1.html	(from http://3.37.186.116/index.html)
21:02:37	336223/336223	---M--	200	added ('OK')	text/html	etag:%225215f-5f5c661ff3c00%22	http://3.37.186.116/index-demo2.html	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/index-demo2.html	(from http://3.37.186.116/index.html)
21:02:39	208182/208182	---M--	200	added ('OK')	text/html	etag:%2232d36-5f5c661ff3c00%22	http://3.37.186.116/index-demo3.html	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/index-demo3.html	(from http://3.37.186.116/index.html)
21:02:41	252005/252005	---M--	200	added ('OK')	text/html	etag:%223d865-5f5c661e0b780%22	http://3.37.186.116/index-demo4.html	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/index-demo4.html	(from http://3.37.186.116/index.html)
